"sku","age","gender","size","dimension"
"BOX-dragon-3SP",,"男,女",,"約33 x 33 x 33 cm"
"BOX-pcock-3SP",,"男,女",,"約33 x 33 x 33 cm"
"BOX-unicorn-3SP",,"男,女",,"約33 x 33 x 33 cm"
"BIN-bear-3SP",,"男,女",,"高約44 cm / 直徑約43 cm"
"BIN-camel-3SP",,"男,女",,"高約44 cm / 直徑約43 cm"
"BIN-Owl-3SP",,"男,女",,"高約44 cm / 直徑約43 cm"
"WCJ-NB-LORALIN","0-3個月","男,女","0-3個月",
"WCJ-3M-LORALIN"," 3-6個月","男,女"," 3-6個月",
"WCJ-6M-LORALIN"," 6-12個月","男,女"," 6-12個月",
"WCP-NB-LORALIN","0-3個月","男,女","0-3個月",
"WCP-3M-LORALIN","3-6個月","男,女","3-6個月",
"WCP-6M-LORALIN","6-12個月","男,女","6-12個月",
"BW-3M-LORALIN","3-6個月","男,女","3-6個月",
"BW-6M-LORALIN","6-12個月","男,女","6-12個月",
"BW-12M-LORALIN","12-18個月","男,女","12-18個月",
"BWR-3M-LORALIN","3-6個月","男,女","3-6個月",
"BWR-6M-LORALIN","6-12個月","男,女","6-12個月",
"BWR-12M-LORALIN","12-18個月","男,女","12-18個月",
"BWT-3M-LORALIN","3-6個月","男,女","3-6個月",
"BWT-6M-LORALIN","6-12個月","男,女","6-12個月",
"BWT-12M-LORALIN","12-18個月","男,女","12-18個月",
"WB-3M-LORALIN","3-6個月","男,女","3-6個月",
"WB-6M-LORALIN","6-12個月","男,女","6-12個月",
"WB-12M-LORALIN","12-18個月","男,女","12-18個月",
"ZN-LORALIN","0-4個月","男,女","0-4個月",
"ZB-LORALIN","0-4個月","男,女","0-4個月",
"HN-6M-LORALIN","6-12個月","男,女","6-12個月",
"HN-12M-LORALIN","12-18個月","男,女","12-18個月",
"HE-6M-LORALIN","6-12個月","男,女","6-12個月",
"HE-12M-LORALIN","12-18個月","男,女","12-18個月",
"OG-3M-LORALIN","3-6個月","男,女","3-6個月",
"OG-6M-LORALIN","6-12個月","男,女","6-12個月",
"OG-12M-LORALIN","12-18個月","男,女","12-18個月",
"BUS-LORALIN","0-4個月","男,女","0-4個月",
"BNS-LORALIN","0-4個月","男,女","0-4個月",
"RB-3M-LORALIN","3-6個月","男,女","3-6個月",
"RB-6M-LORALIN","6-12個月","男,女","6-12個月",
"RDM2T-EROSE","2-3歲","女","2-3歲","肩寬約24cm/前裙長約48cm後裙長約51cm"
"RDM3T-EROSE","3-4歲","女","3-4歲",
"PDO6-12M-EROSE","6-12個月","女","6-12個月",
"CDP18M-EROSE","12-18個月","女","12-18個月","肩寬約20cm/總長約40cm"
"CDO18M-EROSE","12-18個月","女","12-18個月","肩寬約24cm/袖長約27.5cm/總長約46cm"
"CDO2T-EROSE","2-3歲","女","2-3歲",
"KTO18M-EROSE","12-18個月","女","12-18個月","肩寬約24cm/袖長約24cm/總長約43cm"
"KTO2T-EROSE","2-3歲","女","2-3歲",
"KTO3T-EROSE","3-4歲","女","3-4歲",
"KTG18M-EROSE","12-18個月","女","12-18個月","肩寬約24cm/袖長約24cm/總長約43cm"
"KTG2T-EROSE","2-3歲","女","2-3歲",
"KTG3T-EROSE","3-4歲","女","3-4歲",
"MDO18M-EROSE","12-18個月","女","12-18個月",
"MDO2T-EROSE","2-3歲","女","2-3歲",
"MDO3T-EROSE","3-4歲","女","3-4歲",
"EDLD6-12M-EROSE","6-12個月","女","6-12個月","總長約36cm"
"EDLD2T-EROSE","2-3歲","女","2-3歲",
"EDLD3T-EROSE","3-4歲","女","3-4歲",
"MTN-005-MTN","新生","男,女",,"8oz/約250ml"
"MTN-001-MTN","新生","男,女",,"12oz/約355ml"
"MTN-010-MTN","新生","男,女",,"8oz/約250ml"
"MTN-029-MTN","新生","男,女",,"8oz/約250ml"
"MTN-026-MTN","新生","男,女",,"<li>有機草本兒童泡泡浴 355ml</li> <li>有機草本2合1洗髮沐浴露1瓶 250ml</li> <li>有機草本舒緩護膚乳液1瓶 250ml</li>"
"22LAV9-TPC","2-4歲","女","2-4歲","裙長約21cm/鬆緊腰帶平放約23cm,最大可拉至33cm(左至右測量)"
"22809RdShk9-TPC+Wng809Red-TPC","2-4歲","女","2-4歲","緞帶蓬裙 - 裙長度約20cm / 鬆緊腰帶平放約23cm, 最大約35cm(左至右測量)，扮裝翅膀 - 長約30.5cm / 寬約21cm"
"22809TrqPk9-TPC+Wng809Blue-TPC","2-4歲","女","2-4歲","緞帶蓬裙 - 裙長度約20cm / 鬆緊腰帶平放約23cm, 最大約35cm(左至右測量)，扮裝翅膀-長約30.5cm/寬約21cm"
"22Lav6-TPC","0-1歲","女","0-1歲","6”-- 腰到下擺長度約15cm"
"22Lav7-TPC","1-2歲","女","1-2歲","7”--腰到下擺長度約17.8cm"
"22Wht6-TPC","0-1歲","女","0-1歲","6”-- 腰到下擺長度約15cm"
"22Wht7-TPC","1-2歲","女","1-2歲","7”--腰到下擺長度約17.8cm"
"22HotPk6-TPC","0-1歲","女","0-1歲","6”-- 腰到下擺長度約15cm"
"22HotPk7-TPC","1-2歲","女","1-2歲","7”--腰到下擺長度約17.8cm"
"22BdayPK7-Set-TPC:WngBdayPK-TPC+22BdayPK7-TPC","1-2歲","女","1-2歲","裙長約17cm/鬆緊腰帶平放約22cm,最大約38cm(左至右測量)，長約30.5cm/寬約21cm"
"22BdayLAV7-Set-TPC:WngBdayLAV-TPC+22BdayLAV7-TPC","1-2歲","女","1-2歲","裙長約17cm/鬆緊腰帶平放約22cm,最大約38cm(左至右測量)，長約30.5cm/寬約21cm"
"22PKNV6-TPC ","0-1歲","女","0-1歲","裙長約15cm / 鬆緊腰帶平放約20cm, 最大約30cm (左至右測量)"
"22PKGNM6-TPC","0-1歲","女","0-1歲","裙長約15cm / 鬆緊腰帶平放約20cm, 最大約30cm (左至右測量)"
"22LcEgClnl6-TPC","0-1歲","女","0-1歲","裙長約12.5cm/鬆緊腰帶平放約20cm,最大可拉至30cm(左至右測量)"
"22LcEgPriW6-TPC","0-1歲","女","0-1歲","裙長約12.5cm/鬆緊腰帶平放約20cm,最大可拉至30cm(左至右測量)"
"1212RB-KSTYL",,"男,女",,"30.5公分 x 30.5公分 x 30.5公分"
"1212P-KSTYL",,"男,女",,"30.5公分 x 30.5公分 x 30.5公分"
"1212SG-KSTYL",,"男,女",,"30.5公分 x 30.5公分 x 30.5公分"
"9400-KSTYL",,"男,女",,"30.5公分 x 30.5公分 x 30.5公分"
"9425-KSTYL",,"男,女",,"30.5公分 x 30.5公分 x 30.5公分"
"9475-KSTYL",,"男,女",,"30.5公分 x 30.5公分 x 30.5公分"
"9500-KSTYL",,"男,女",,"30.5公分 x 30.5公分 x 30.5公分"
"9460-KSTYL",,"男,女",,"30.5公分 x 30.5公分 x 30.5公分"
"9470-KSTYL",,"男,女",,"30.5公分 x 30.5公分 x 30.5公分"
"8933100-KSTYL",,"男,女",,"大 - 長20.3公分 x 寬30.5公分 x 高8.9公分，中 - 長17.8公分 x 寬25.4公分 x 高8.2公分，小 - 長15.2公分 x 寬20.3公分 x 高7.6公分"
"8947000-KSTYL",,"男,女",,"大 - 長20.3公分 x 寬30.5公分 x 高8.9公分，中 - 長17.8公分 x 寬25.4公分 x 高8.2公分，小 - 長15.2公分 x 寬20.3公分 x 高7.6公分"
"4013547-KSTYL",,"男,女",,"長25.4公分x寬14公分x高23公分"
"4043617-KSTYL",,"男,女",,"長25.4公分x寬14公分x高23公分"
"SSFox1ZNat12mo-CLK","6-12個月","男,女","6-12個月","適用7-10公斤/63-71公分"
"SSFox1ZNat18mo-CLK","12-18個月","男,女","12-18個月","適用10-12公斤/73-79公分"
"SSOwl1ZDjn6mo-CLK","3-6個月","男,女","3-6個月","適用3-7公斤/43-61公分"
"SSOwl1ZDjn12mo-CLK","6-12個月","男,女","6-12個月","適用7-10公斤/63-71公分"
"SSBee1ZNat6mo-CLK","3-6個月","男,女","3-6個月","適用3-7公斤/43-61公分"
"SSBee1ZNat12mo-CLK","6-12個月","男,女","6-12個月","適用7-10公斤/63-71公分"
"SSPan1ZBLk12mo-CLK","6-12個月","男,女","6-12個月","適用7-10公斤/63-71公分"
"SSPan1ZBlk18mo-CLK","12-18個月","男,女","12-18個月","適用10-12公斤/73-79公分"
"SSDin1ZLmn6mo-CLK","3-6個月","男,女","3-6個月","適用3-7公斤/43-61公分"
"SSDin1ZLmn12mo-CLK","6-12個月","男,女","6-12個月","適用7-10公斤/63-71公分"
"SSBun1ZPnk6mo-CLK","3-6個月","男,女","3-6個月","適用3-7公斤/43-61公分"
"SSBun1ZPnk12mo-CLK","6-12個月","男,女","6-12個月","適用7-10公斤/63-71公分"
"SSCow1ZGrn6mo-CLK","3-6個月","男,女","3-6個月","適用3-7公斤/43-61公分"
"SSCow1ZGrn12mo-CLK","6-12個月","男,女","6-12個月","適用7-10公斤/63-71公分"
"LSBun1ZRed6mo-CLK","3-6個月","男,女","3-6個月","適用3-7公斤/43-61公分"
"LSBun1ZRed18mo-CLK","12-18個月","男,女","12-18個月","適用10-12公斤/73-79公分"
"LSSeal1ZBl12mo-CLK","6-12個月","男,女","6-12個月","適用7-10公斤/63-71公分"
"LSSeal1ZBl18mo-CLK","12-18個月","男,女","12-18個月","適用10-12公斤/73-79公分"
"LSDino1ZNav6mo-CLK","3-6個月","男,女","3-6個月","適用3-7公斤/43-61公分"
"LSDino1ZNav12mo-CLK","6-12個月","男,女","6-12個月","適用7-10公斤/63-71公分"
"LSDinoTNav2T-CLK","2-3歲","男,女","2-3歲","2T-長度53公分/胸圍81-91公分"
"LSDinoTNav4T-CLK","4-5歲","男,女","4-5歲","4T-長度56公分/胸圍91-102公分"
"LSSealTNav2T-CLK","2-3歲","男,女","2-3歲","2T-長度53公分/胸圍81-91公分"
"LSSealTNav4T-CLK","4-5歲","男,女","4-5歲","4T-長度56公分/胸圍91-102公分"
"SSCowTGrn2T-CLK","2-3歲","男,女","2-3歲","2T-長度53公分/胸圍81-91公分"
"SSCowTGrn4T-CLK","4-5歲","男,女","4-5歲","4T-長度56公分/胸圍91-102公分"
"SSPanTOrng2T-CLK","2-3歲","男,女","2-3歲","2T-長度53公分/胸圍81-91公分"
"SSPanTOrng4T-CLK","4-5歲","男,女","4-5歲","4T-長度56公分/胸圍91-102公分"
"SSOwlTDj2T-CLK","2-3歲","男,女","2-3歲","2T-長度53公分/胸圍81-91公分"
"SSOwlTDj4T-CLK","4-5歲","男,女","4-5歲","4T-長度56公分/胸圍91-102公分"
"YellowBib-CLK","0-3歲","男,女","0-3歲","one size"
"BlackBib-CLK","0-3歲","男,女","0-3歲","one size"
"PolkaBib-CLK","0-3歲","男,女","0-3歲","one size"
"MMGreen-MM","10個月以上","男,女",,"約13.5x10x10公分、96公克"
"RBWSDNB-P100-RB","0-3個月","女","0-3個月",
"RBWSD03-P100-RB","3-6個月","女","3-6個月",
"RBWSD06-P100-RB","6-12個月","女","6-12個月",
"RBWSD12-P100-RB","12-18個月","女","12-18個月",
"RBWSD18-P100-RB","18-24個月 ","女","18-24個月 ",
"RBWSD2T-P100-RB","2-3歲","女","2-3歲",
"RCDDB06-0000-RB","6-12個月","女","6-12個月",
"RCDDB12-0000-RB","12-18個月","女","12-18個月",
"RCDDB18-0000-RB","18-24個月 ","女","18-24個月 ",
"RCDDB2T-0000-RB","2-3歲","女","2-3歲",
"RLKBK00-0000-RB","0-6個月 ","女","0-6個月 ",
"RLKBK06-0000-RB","6-12個月","女","6-12個月",
"RLKGY00-0000-RB","0-6個月 ","女","0-6個月 ",
"RLKGY06-0000-RB","6-12個月","女","6-12個月",
"RCKLA12-0000-RB","12-18個月","女","12-18個月",
"RCKLA18-0000-RB","18-24個月 ","女","18-24個月 ",
"RCKLA2T-0000-RB","2-3歲","女","2-3歲",
"GJDMB18-0000-RB","18-24個月 ","女","18-24個月 ",
"GJDMB2T-0000-RB","2-3歲","女","2-3歲",
"53181PastelKitchen-KK","3歲以上","男,女",,"107.3公分(長) x40.6(公分)寬x109.2公分(高)/重量：38.4公斤"
"53260EspressoKitchen-KK","3歲以上","男,女",,"108公分(長) x43.4(公分)寬x104公分(高)/重量：36.3公斤"
"53173RedVintageKitchen-KK","3歲以上","男,女",,"83.8公分(長) x33(公分)寬x90.7公分(高)/重量：22.7公斤"
"53179PinkVintageKitchen-KK","3歲以上","男,女",,"83.8公分(長) x33(公分)寬x90.7公分(高)/重量：22.7公斤"
"65275PrettyPetalHouse-KK","3歲以上","男,女",,"49公分(長) x36(公分)寬x51.8公分(高)/重量：11公斤"
"21201AspenTableSetWhite-KK","3-8歲","男,女",,"桌子-61公分(長) x 61公分(寬) x 48公分(高),椅子-29公分(長) x 30公分(寬) x 27公分(高)/  重量：14公斤"
"26913HeartTable-KK","3-8歲","男,女",,"桌子-76.8公分(長) x 56.5公分(寬) x 52公分(高),椅子-29.8公分(長) x 29.8公分(寬) x50.8公分(高),椅面高度27.9公分/重量：17.4公斤"
"14956ToyBoxEspresso-KK","3-8歲","男,女",,"77.6公分(長) x46.4公分(寬) x 49.8公分(高),重量：15.5公斤"
"14951ToyBoxWht-KK","3-8歲","男,女",,"77.6公分(長) x46.4公分(寬) x 49.8公分(高),重量：15.5公斤"
"14953ToyBoxNat-KK","3-8歲","男,女",,"77.6公分(長) x46.4公分(寬) x 49.8公分(高),重量：15.5公斤"
"14221SlingBookshelfNat-KK","3歲以上","男,女",,"60.96公分(長) x 30.48公分(寬) x 71.12公分(高) ,重量：7.3公斤"
"1008-LILACOSM","1歲以上","女",,"14ml/液態0.5oz."
"1003-LILACOSM","1歲以上","女",,"14ml/液態0.5oz."
"1016-LILACOSM","1歲以上","女",,"14ml/液態0.5oz."
"1015-LILACOSM","1歲以上","女",,"14ml/液態0.5oz."
"1013-LILACOSM","1歲以上","女",,"14ml/液態0.5oz."
"1014-LILACOSM","1歲以上","女",,"14ml/液態0.5oz."
"1009-LILACOSM","1歲以上","女",,"14ml/液態0.5oz."
"1010-LILACOSM","1歲以上","女",,"14ml/液態0.5oz."
"1011-LILACOSM","1歲以上","女",,"14ml/液態0.5oz."
"1004-LILACOSM","1歲以上","女",,"14ml/液態0.5oz."
"E525001-EDUSHP","1歲以上","男,女",,"包裝約44×10x33(cm)"
"E547023-EDUSHP","3歲以上","男,女",,"包裝約25×25x6（cm）"
"E547024-EDUSHP","3歲以上","男,女",,"包裝約25×25x6（cm）"
"E547005-EDUSHP","2歲以上","男,女",,"包裝約25×25x6（cm）"
"E915019-EDUSHP","3歲以上","男,女",,"包裝約28×22x5（cm）"
"E526023-EDUSHP","1歲以上","男,女",,"包裝約24×22x4（cm）"
"E909006-EDUSHP","3歲以上","男,女",,"包裝約25×2x23.5（cm）"
"E706132-EDUSHP","3歲以上","男,女",,"每片約32×32cm/厚度1.3cm"
"E706150-EDUSHP","3歲以上","男,女",,"每片約32×32cm/厚度1.3cm"
"E705175-EDUSHP","6個月以上","男,女",,"包裝約22×10x26cm/球直徑約10cm"
"E851003-EDUSHP","6個月以上","男,女",,"約19×14x23cm"
"E975054-EDUSHP","3歲以上","男,女",,"包裝約30×10x21cm"
"E716167-EDUSHP","2歲以上","男,女",,"包裝約30.5×30.5x9.5cm"
"E705191-EDUSHP","6個月以上","男,女",,"包裝約21×8x23cm/球直徑約18cm"
"MBB1008.SOLO-MIXIE","新生","男,女",,"奶瓶組：240cc奶瓶 * 1 / 第二階段奶嘴 * 1,防脹氣奶嘴：高 2-2/8"" 英吋/底部直徑 5英吋,第一階段:單一圓孔(非十字形吸孔)/奶粉儲存盒：240ml容量約40公克"
"6973-LEARN","4-6歲","男,女",,"12.7x10.2cm"
"1455-LEARN","3-8歲","男,女",,"30.7x16x21.3cm"
"6906-LEARN","6-11歲","男,女",,"12.2x22.1x37.8cm"
"2781-LEARN","3-6歲","男,女",,"11.4x8.9cm"
"2421-LEARN","3-10歲","男,女",,"13x15cm"
"9162-LEARN","3-10歲","男,女",,"30.5x27.4x30.5cm"
"9153-LEARN","3-6歲","男,女",,"最長可至4英尺(約122公分)"
"2690-LEARN","3-9歲","男,女",,"25.6cm長x20.5cm寬x36.5cm高"
"2665-LEARN","3-6歲","男,女",,"30.2x9.1x30.7cm"
"85001-Shrunks","2歲以上","男,女",,"充氣後152×94×23（cm）／收折後40×18×18（cm）/重量：3公斤,最大承重：68公斤"
"88028-Shrunks","４歲以上","男,女",,"充氣後196×117×23（cm）／收折後40×18×18（cm）/4公斤,最大承重：68公斤"
"88046-Shrunks","2歲以上","男,女",,"充氣後122×18×10（cm）／收折後18×18×5（cm）,重量: 0.27公斤/最大承重：68公斤"
"88051-SHRUNKS","2歲以上","男,女",,"尺寸：66×127（cm）重量： 0.27公斤"
"5008-LILACOSM","1歲以上","女",,"10.5ml"
"5026-LILACOSM","1歲以上","女",,"10.5ml"
"5025-LILACOSM","1歲以上","女",,"10.5ml"
"5017-LILACOSM","1歲以上","女",,"10.5ml"
"5028-LILACOSM","1歲以上","女",,"10.5ml"
"5023-LILACOSM","1歲以上","女",,"10.5ml"
"5005-LILACOSM","1歲以上","女",,"10.5ml"
"5033-LILACOSM","1歲以上","女",,"10.5ml"
"5029-LILACOSM","1歲以上","女",,"10.5ml"
"5027-LILACOSM","1歲以上","女",,"10.5ml"
"2350-LEARN","4-6歲","男,女",,"15.2cm"
"2349-LEARN","4-6歲","男,女",,"15.2cm"
"2351-LEARN","3-6歲","男,女",,"16.7x12.9x6.6cm"
"2353-LEARN","3-6歲","男,女",,"16.7x12.9x6.6cm"
"2355-LEARN","3-6歲","男,女",,"16.7x12.9x6.6cm"
"2354-LEARN","3-6歲","男,女",,"16.7x12.9x6.6cm"
"2384-LEARN","3-6歲","男,女",,"16x28x10cm"
"HDJr4Pack+Ace-LEARN","3-6歲","男,女",,"16.7x12.9x6.6cm"
"HDJr4Pack+KatPen-LEARN","3-6歲","男,女",,"16.7x12.9x6.6cm"
"SDCBK12-FOD0-RB","12-18個月","女","12-18個月",
"SDSRD06-RUO0-RB","6-12個月","女","6-12個月",
"SDSRD12-RUO0-RB","12-18個月","女","12-18個月",
"SDSRD18-RUO0-RB","18-24個月 ","女","18-24個月 ",
"SDSRD2T-RUO0-RB","2-3歲","女","2-3歲",
"SDWPI06-RU00-RB","6-12個月","女","6-12個月",
"SDWPI12-RU00-RB","12-18個月","女","12-18個月",
"SDWPI18-RU00-RB","18-24個月 ","女","18-24個月 ",
"SDWPI2T-RU00-RB","2-3歲","女","2-3歲",
"SKSWH03-WS22-RB","3-6個月","女","3-6個月",
"SKSWH06-WS22-RB","6-12個月","女","6-12個月",
"SKSWH12-WS22-RB","12-18個月","女","12-18個月",
"SKSWH18-WS22-RB","18-24個月 ","女","18-24個月 ",
"SKSWH2T-WS22-RB","2-3歲","女","2-3歲",
"SKSWH3T-WS22-RB","3-4歲","女","3-4歲",
"SKSPI18-PM22-RB","18-24個月 ","女","18-24個月 ",
"SKSPI2T-PM22-RB","2-3歲","女","2-3歲",
"SKSPI3T-PM22-RB","3-4歲","女","3-4歲",
"RLKWH00-0000-RB","0-6個月","女","0-6個月",
"RLKWH06-0000-RB","6-12個月","女","6-12個月",
"RLKWH12-0000-RB","1-2歲","女","1-2歲",
"RLKWH2T-0000-RB","2-5歲","女","2-5歲",
"HOKPI18-PS00-RB","18-24個月","女","18-24個月",
"SSKFU06-PRC0-RB","6-12個月","女","6-12個月",
"SSKFU12-PRC0-RB","12-18個月","女","12-18個月",
"SSKFU18-PRC0-RB","18-24個月 ","女","18-24個月 ",
"SSKFU2T-PRC0-RB","2-3歲","女","2-3歲",
"SSKFU3T-PRC0-RB","3-4歲","女","3-4歲",
"PGKPL2T-PLO0-RB","2-3歲","女","2-3歲",
"PGKPL3T-PLO0-RB","3-4歲","女","3-4歲",
"PGKNV2T-NAO0-RB","2-3歲","女","2-3歲",
"PGKNV3T-NAO0-RB","3-4歲","女","3-4歲",
"GTWCH12-RF00-RB","12-18個月","女","12-18個月",
"GTWCH18-RF00-RB","18-24個月 ","女","18-24個月 ",
"GTWCH2T-RF00-RB","2-3歲","女","2-3歲",
"GTWCH3T-RF00-RB","3-4歲","女","3-4歲",
"ONKTE00-TES0-RB","0-3個月","女","0-3個月",
"ONKTE03-TES0-RB","3-6個月","女","3-6個月",
"ONKTE06-TES0-RB","6-12個月","女","6-12個月",
"ONKTE12-TES0-RB","12-18個月","女","12-18個月",
"ONKTE18-TES0-RB","18-24個月","女","18-24個月",
"ONMPI12-USLS-RB","18-24個月","女","18-24個月",
"BCKBR03-MOMO-RB","3-6個月","男","3-6個月",
"BCKBR06-MOMO-RB","6-12個月","男","6-12個月",
"BCKBR12-MOMO-RB","12-18個月","男","12-18個月",
"BOKOL00-SM00-RB","0-3個月","男,女","0-3個月",
"BOKOL03-SM00-RB","3-6個月","男,女","3-6個月",
"BOKOL06-SM00-RB","6-12個月","男,女","6-12個月",
"P4BRS-EdgePub",,"男,女",,
"K4BRS-EdgePub",,"男,女",,
"14BRS-EdgePub",,"男,女",,
"2629-LEARN","3-8歲","男,女",,"26.6cm長x24.1cm寬x13.9cm高"
"9082-LEARN","3-5歲","男,女",,"16.7x12.9x6.6cm"
"3294-LEARN","2-7歲","男,女",,"30.7x22.9x10.7cm"
"9155-LEARN","3-6歲","男,女",,"10.9x20.3x25.7cm"
"9266-LEARN","2-6歲","男,女",,"22.9x17.8x15.2cm"
"9730-LEARN","2-8歲","男,女",,"25.4x18.3x10.2cm"
"9732-LEARN","2-8歲","男,女",,"25.4x18.3x10.2cm"
"9720-LEARN","2-8歲","男,女",,"包裝約13x13x13cm"
"7287-LEARN","3-6歲","男,女",,"26.7x26.7x6.4cm"
"9077-LEARN","3-5歲","男,女",,"8.3x11.4cm"
"9048-LEARN","3-6歲","男,女",,"29.7x8.4x37.6cm"
"7201-LEARN","2-5歲","男,女",,"25.7x13x25.9cm"
"7203-LEARN","2-5歲","男,女",,"13x25.4x27.9cm"
"7207-LEARN","2-5歲","男,女",,"8.1x25.4x25.7cm"
"1422-6m-Tomat","6-12個月","男,女","6-12個月",
"1422-12m-Tomat","12-18個月","男,女","12-18個月",
"1442-6m-Tomat","6-12個月","男,女","6-12個月",
"1442-12m-Tomat","12-18個月","男,女","12-18個月",
"1421-6m-Tomat","6-12個月","男,女","6-12個月",
"1421-12m-Tomat","12-18個月","男,女","12-18個月",
"1441-6m-Tomat","6-12個月","男,女","6-12個月",
"1441-12m-Tomat","12-18個月","男,女","12-18個月",
"1301-12m-Tomat","12-18個月","男,女","12-18個月",
"8002-2T-Tomat","2-3歲 ","男,女","2-3歲 ",
"1411-12m-Tomat","12-18個月","女","12-18個月",
"1411-2T-Tomat","2-3歲 ","女","2-3歲 ",
"1104-12m-Tomat","12-18個月","女","12-18個月",
"1104-2T-Tomat","2-3歲 ","女","2-3歲 ",
"9011-12m-Tomat","12-18個月","女","12-18個月",
"9011-2T-Tomat","2-3歲 ","女","2-3歲 ",
"LimBwlr2y-CB","1-2歲","男","1-2歲",
"LimBwlr3y-CB","2-3歲 ","男","2-3歲 ",
"MstBwlr2y-CB","1-2歲","男","1-2歲",
"MstBwlr3y-CB","2-3歲 ","男","2-3歲 ",
"LimBrtch2yA-CB","1-2歲","男","1-2歲",
"LimBrtch3yA-CB","2-3歲 ","男","2-3歲 ",
"LimBrtch3yWhl-CB","2-3歲 ","男","2-3歲 ",
"MstBrtch2yC-CB","1-2歲","男","1-2歲",
"MstBrtch3yC-CB","2-3歲 ","男","2-3歲 ",
"CrlBrtch2yB-CB","1-2歲","男","1-2歲",
"CrlBrtch3yB-CB","2-3歲 ","男","2-3歲 ",
"MstBrtch3yWhl-CB","2-3歲 ","男","2-3歲 ",
"CrlBlmr1yTrtl-CB","0-1歲","女","0-1歲",
"CrlBlmr1yB-CB","0-1歲","男,女","0-1歲",
"CrlBlmr1yBrd-CB","0-1歲","男,女","0-1歲",
"CrlBlmr1yC-CB","0-1歲","男,女","0-1歲",
"LimBlmr1yA-CB","0-1歲","男,女","0-1歲",
"MstBxr1yi-CB","0-1歲","男","0-1歲",
"MstBxr2yi-CB","1-2歲","男","1-2歲",
"MstBxr2ySea-CB","1-2歲","男","1-2歲",
"MstBxr1yW-CB","0-1歲","男","0-1歲",
"MstBxr2yW-CB","1-2歲","男","1-2歲",
"MstBxr2yWhl-CB","1-2歲","男","1-2歲",
"I2-821-306-NB-UN","新生","女","新生",
"I2-821-307-NB-UN","新生","男","新生",
"I2-822-306-NB-UN","新生","女","新生",
"I2-822-307-NB-UN","新生","男","新生",
"I2-819-306-NB-UN","新生","女","新生",
"I2-819-307-NB-UN","新生","男","新生",
"I20-776-273-BU-UN","0-6個月","男,女","0-6個月",
"I20-775-273-TG-UN","0-3個月","男,女","0-3個月",
"I20-713-273-TG-UN","0-3個月","男,女","0-3個月",
"I2-836-304-TG-UN","6-9個月","女","6-9個月",
"BBR-Navy9m-UN","6-9個月","男,女","6-9個月",
"BBR-Navy18m-UN","12-18個月","男,女","12-18個月",
"RWL-Navy-9mo-UN","6-9個月","男,女","6-9個月",
"RWL-Navy-18mo-UN","12-18個月","男,女","12-18個月",
"SH-Wht-12mo-UN","3-12個月","女","3-12個月",
"SH-Wht-18mo-UN","1-2歲","女","1-2歲",
"2PCPOPLINWHT-12M-UN","6-12個月","女","6-12個月",
"2PCPOPLINWHT-18M-UN","12-18個月","女","12-18個月",
"2PCPOPLINWHT-24M-UN","18-24個月","女","18-24個月",
"I10-816-305-TG-UN","6-9個月","女","6-9個月",
"RDBlmr-Wht-6mo-UN","3-6個月","女","3-6個月",
"RDBlmr-Wht-9mo-UN","6-9個月","女","6-9個月",
"SHFloral-Pnk-12mo-UN","3-12個月","女","3-12個月",
"SHFloral-Pnk-24mo-UN","1-2歲","女","1-2歲",
"35NFE01S-EdgePub",,"男,女",,
"36TFE01S-EdgePub",,"男,女",,
"36WFC01S-EdgePub",,"男,女",,
"47AFW01S-EdgePub",,"男,女",,
