"store","websites","attribute_set","type","sku","age","gender","size","dimension","visibility","featured","status","store_id","product_type_id"
"admin","base","Default","simple","FB20-WCARTS",,,,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","SeasonOS-WCARTS",,,,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","FB19-WCARTS",,,,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","IHartOwl-WCARTS",,,,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","DottiLicious-WCARTS",,,,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","FlutterFlies2-WCARTS",,,,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","OverlapHearts-WCARTS",,,,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","Blossoms-WCARTS",,,,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","7323-ZZ-CLOUDB","2歲以上","男,女",,,"Catalog, Search","Yes","Enabled",0,"simple"
"admin","base","Default","simple","7353-ZZ-CLOUDB","2歲以上","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","7333-ZZ-CLOUDB","2歲以上","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","7303-ZZ-CLOUDB","新生","男,女",,"35.3cm x 24.9cm x 17.78cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","1266-MELDOUG","2歲以上","男,女",,"包裝約30 x 22 x 9 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","1269-MELDOUG","2歲以上","男,女",,"包裝約31 x 23 x 5.5 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","2191-MELDOUG","2歲以上","男,女",,"包裝約23 x 22 x 18 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","2281-MELDOUG","1歲以上","男,女",,"包裝約29.8 x 29.8 x 31.8 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","2783-MELDOUG","2歲以上","男,女",,"包裝約32 x 14 x 42 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","3039-MELDOUG","9個月以上","男,女",,"包裝約30 x 24 x 23 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","3044-MELDOUG","6個月以上","男,女",,"包裝約30 x 15 x 20 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","3066-MELDOUG","9個月以上","男,女",,"包裝約30 x 17 x 17 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","3130-MELDOUG","18個月以上","男,女",,"包裝約28 x 11 x 29 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","3391-MELDOUG","1歲以上","男,女",,"包裝約30 x 39 x 4 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","3777-MELDOUG","3歲以上","男,女",,"包裝約3 x 23 x 30 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","4096-MELDOUG","3歲以上","男,女",,"包裝約15 x 30 x 8 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","7001.3-PRNCLH","18個月以上","男,女",,"約36 x 35 x 18 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","7000.3-PRNCLH","18個月以上","男,女",,"約36 x 35 x 18 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","7018.2-PRNCLH","1歲以上","男,女",,"約37 x 36 x 24 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","7020.2-PRNCLH","1歲以上","男,女",,"約37 x 36 x 24 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","7140.2-PRNCLH","3個月以上","男,女",,"約36 x 33 x 23 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","7152.2-PRNCLH","3個月以上","男,女",,"約36 x 33 x 23 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","7153.2-PRNCLH","3個月以上","男,女",,"約36 x 33 x 23 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","7401.2-PRNCLH","18個月以上","男,女",,"約37 x 42 x 21 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","7403.2-PRNCLH","18個月以上","男,女",,"約37 x 42 x 21 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","7406.2-PRNCLH","18個月以上","男,女",,"約37 x 42 x 21 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","PT3074-BEBABEAN","新生","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","SMRG-BEBABEAN","新生","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","CBTP-BEBABEAN","3-6個月","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","CBTI-BEBABEAN","3-6個月","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","CBTC-BEBABEAN","3-6個月","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","HKRP-BEBABEAN","0-1歲","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","HKRC-BEBABEAN","0-1歲","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","KCIOS-BEBABEAN","6-24個月","女",,"約53cm寬x 25cm長；帽約30cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","KCPOS-BEBABEAN","6-24個月","女",,"約53cm寬x 25cm長；帽約30cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","KOI12-BEBABEAN","6-12個月","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","KOP12-BEBABEAN","6-12個月","女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","CBPOS-BEBABEAN","新生","男,女",,"約66 cm x 86 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","CBIOS-BEBABEAN","新生","男,女",,"約66 cm x 86 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","CBGOS-BEBABEAN","新生","男,女",,"約66 cm x 86 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","K1148-KDZDLGT","3歲以上","男,女",,"約27 x 22 x 1 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","K1147-KDZDLGT","3歲以上","男,女",,"實體約28 x 23 x 1 cm / 0.5公斤","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","K3423-KDZDLGT","2歲以上","男,女",,"包裝約33 x 40 x 10 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","K7730-KDZDLGT","1歲以上","男,女",,"實體約25 x 25 x 7 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","K1185R-KDZDLGT","2歲以上","男,女",,"實體約35 x 27 x 7.8 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","K12650-KDZDLGT","3歲以上","男,女",,"約20 x 19 x 5 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","FFPIPA-PK","1歲以上","男,女",,"40.64 cm X 28 cm X 38.1cm / 1.8公斤","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","FFTIAS-PK","1歲以上","男,女",,"40.64 cm X 28 cm X 38.1cm / 1.8公斤","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","JVZPBU-PK","3歲以上","男,女",,"外包裝 15.3 x 20.3 x 2.54 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","JVZPTI-PK","3歲以上","男,女",,"外包裝 15.3 x 20.3 x 2.54 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","TYPSMC-PK","１歲以上","男,女",,"14 cm x 21.6 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","TYSORB-PK","１歲以上","男,女",,"17.8 cm x 8.9 cm x 28 cm / 1.8 kg","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","TYXYBX-PK","1歲以上","男,女",,"12.7 x 12.7 x 4.5 cm / 1.8kg","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","TYCIRPZ-PK","２歲以上","男,女",,"26.67 cm x 26.67 cm / 0.45kg","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","TYSQPZ-PK","２歲以上","男,女",,"26.67 cm x 26.67 cm / 0.45kg","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","TWL03-3SP","0-18個月","男,女",,"約79 X 79 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","TWL05-3SP","0-18個月","男,女",,"約79 X 79 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","TWL06-3SP","0-18個月","男,女",,"約79 X 79 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BIN06-3SP",,"男,女",,"高約44 cm / 直徑約43 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BIN08-3SP",,"男,女",,"高約44 cm / 直徑約43 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BIN09-3SP",,"男,女",,"高約44 cm / 直徑約43 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BIN02-3SP",,"男,女",,"高約44 cm / 直徑約43 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BIN05-3SP",,"男,女",,"高約44 cm / 直徑約43 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BOX02-3SP",,"男,女",,"約33 x 33 x 33 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BOX01-3SP",,"男,女",,"約33 x 33 x 33 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","CAD01-3SP",,"男,女",,"約38 x 38 cm(含提帶) / 38 x 14 cm(袋身) ","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","CAD02-3SP",,"男,女",,"約38 x 38 cm(含提帶) / 38 x 14 cm(袋身) ","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","CAD03-3SP",,"男,女",,"約38 x 38 cm(含提帶) / 38 x 14 cm(袋身) ","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","CAD04-3SP",,"男,女",,"約38 x 38 cm(含提帶) / 38 x 14 cm(袋身) ","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","CAD05-3SP",,"男,女",,"約38 x 38 cm(含提帶) / 38 x 14 cm(袋身) ","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","PocketPosies-MLS","6個月到16公斤","男,女",,"約20 x 4 x 15 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","PinkyButtons-MLS","6個月到16公斤","男,女",,"約20 x 4 x 15 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BiggyButtons-MLS","6個月到16公斤","男,女",,"約20 x 4 x 15 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BlueFish-MLS","6個月到16公斤","男,女",,"約20 x 4 x 15 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","135WT0000STN-MS","6個月以上","男,女",,"約29x18x6公分","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","124WT0000DYL-MS","6個月以上","男,女",,"約24 x31 x6公分","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","102WT0000YEL-MS","6個月以上","男,女",,"約29x23x6公分","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","103WT0000GRA-MS","6個月以上","男,女",,"約29x29x6公分","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","123WT0000MBR-MS","6個月以上","男,女",,"約29x26x6公分","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","111WT0000RA-MS","6個月以上","男,女",,"約29x17x6公分","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","130WT0000RED-MS","1歲以上","男,女",,"約25x17x6公分","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","119WT0000GRA-MS","1歲以上","男,女",,"約29x14x6公分","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","MBB1004-MIXIE","0-3個月","男,女",,"<li>奶瓶組：120cc奶瓶 * 1 / 第一階段奶嘴 * 1
<li>奶嘴組：第一階段奶嘴 * 2個</li>
<li>防脹氣奶嘴：</li>
<ul style=""padding-left:40px"">
<li>高 2-2/8"" 英吋/底部直徑 5英吋</li>
<li>第一階段:單一圓孔(非十字形吸孔)</li>
</ul>
<li>奶粉儲存盒：120ml容量約20公克</li>
<br>
<p></p>
","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","MBB1008-MIXIE","2歲以下","男,女",,"<li>奶瓶組：240cc奶瓶 * 1 / 第二階段奶嘴 * 1</li>
<li>奶嘴組：第二階段奶嘴 * 2個</li>
<li>防脹氣奶嘴：</li>
<ul style=""padding-left:40px"">
<li>高 2-2/8"" 英吋/底部直徑 5英吋</li>
<li>第一階段:單一圓孔(非十字形吸孔)</li>
</ul>
<li>奶粉儲存盒：240ml容量約40公克</li>
","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","MBB1004.SOLO-MIXIE","0-3個月","男,女",,"<li>120cc (120ml)奶瓶 * 1 / 第一階段奶嘴 * 1</li>
<li>防脹氣奶嘴：</li>
<ul style=""padding-left:40px"">
<li>高 2-2/8"" 英吋/底部直徑 5英吋</li>
<li>第一階段:單一圓孔(非十字形吸孔)</li>
</ul>
<li>奶粉儲存盒：120ml容量約20公克</li>","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","136-BBROO","6個月以上","男,女",,"約22.86 x 17.78 x 7.62cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","154-BBROO","6個月以上","男,女",,"約22.86 x 17.78 x 7.62cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","153-BBROO","6個月以上","男,女",,"約22.86 x 17.78 x 7.62cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","174-BBROO","6個月以上","男,女",,"約22.86 x 17.78 x 7.62cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","195-BBROO","6個月以上","男,女",,"約22.86 x 17.78 x 7.62cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","131-BBROO","6個月以上","男,女",,"約22.86 x 17.78 x 7.62cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","100-BBROO","6個月以上","男,女",,"約22.86 x 17.78 x 7.62cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","133-BBROO","6個月以上","男,女",,"約22.86 x 17.78 x 7.62cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","170-BBROO","6個月以上","男,女",,"約22.86 x 17.78 x 7.62cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","142-BBROO","6個月以上","男,女",,"約22.86 x 17.78 x 7.62cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BIN01-3SP",,"男,女",,"高約44 cm / 直徑約43 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BIN03-3SP",,"男,女",,"高約44 cm / 直徑約43 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BIN04-3SP",,"男,女",,"高約44 cm / 直徑約43 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","WALL2-3SP",,"男,女",,"全長102 x 36 cm / 收納格 29 x 36 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","WALL1-3SP",,"男,女",,"全長102 x 36 cm / 收納格 29 x 36 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","WALL3-3SP",,"男,女",,"全長102 x 36 cm / 收納格 29 x 36 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","MOB1-3SP",,"男,女",,"寬27cm/高70cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","MOB2-3SP",,"男,女",,"寬27cm/高70cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","MOB3-3SP",,"男,女",,"寬27cm/高70cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","HAMP1-3SP",,"男,女",,"高48cm x 寬56cm x深28cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","HAMP2-3SP",,"男,女",,"高48cm x 寬56cm x深28cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","HAMP3-3SP",,"男,女",,"高48cm x 寬56cm x深28cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BATH1-3SP",,"男,女",,"約37cm x 38cm ","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BATH3-3SP",,"男,女",,"約37cm x 38cm ","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BATH2-3SP",,"男,女",,"約37cm x 38cm ","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","SF2151M-H2H","3-4歲","女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","SP21512M-H2H","3-4歲","女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","SB2151AM-H2H","3-4歲","女",,"長度約50公分/寬約45到50公分","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","SC2151AS-H2H","1-2歲","女",,"總長（肩到底部） 63.5公分/內裡長度（肩到底部）約43公分/胸圍約50-60公分","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","SC2154S-H2H","1-2歲","女",,"總長（肩到底部）約 63.5公分/內裡長度（肩到底部）約43公分/胸圍約50-60公分","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","SC2156S-H2H","1-2歲","女",,"總長（肩到底部）約63.5公分/內裡長度（肩到底部）約43公分/胸圍約50-60公分","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","SC2154M-H2H","3-4歲","女",,"總長（肩到底部）約 71公分/內裡長度（肩到底部）約50公分/胸圍約55-66公分","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","SE2152S-H2H","1-2歲","女","腰帶可調整，最寬可至51公分","長度: 30.5cm/寬度: 45.5cm Adjustable/腰帶長度約51公分","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","SE2154S-H2H","1-2歲","女","腰帶可調整，最寬可至51公分","長度: 30.5cm/寬度: 45.5cm Adjustable/腰帶長度約51公分","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","SE2156S-H2H","1-2歲","女","腰帶可調整，最寬可至51公分","長度30.5公分/寬度約45公分/腰帶長度約51公分","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BW2151AS-H2H","0-18個月","女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BW2154S-H2H","0-18個月","女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BW2156S-H2H","0-18個月","女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BW2150S-H2H","0-18個月","女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BW2151AL-H2H","1.5歲-12歲","女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BW2154L-H2H","1.5歲-12歲","女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BW2156L-H2H","1.5歲-12歲","女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BW2152L-H2H","1.5歲-12歲","女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","GM04-H2H",,"男,女",,"25.4 x 25.4公分","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","11301N-S-UBSN","1-2歲","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","11301N-M-UBSN","2-4歲","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","11303N-S-UBSN","1-2歲","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","11303N-M-UBSN","2-4歲","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","11104N-S-UBSN","1-2歲","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","11104N-M-UBSN","2-4歲","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","11306N-S-UBSN","1-2歲","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","11306N-M-UBSN","2-4歲","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","11305N-S-UBSN","1-2歲","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","11305N-M-UBSN","2-4歲","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","21208N-S-UBSN","1-2歲","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","21208N-M-UBSN","2-4歲","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","11309N-S-UBSN","1-2歲","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","11309N-M-UBSN","2-4歲","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","11310N-S-UBSN","1-2歲","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","11310N-M-UBSN","2-4歲","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","11301B-M-UBSN","2-4歲","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","11301B-L-UBSN","5-8歲","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","11303B-M-UBSN","2-4歲","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","11303B-L-UBSN","5-8歲","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","11304B-M-UBSN","2-4歲","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","11304B-L-UBSN","5-8歲","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","11305B-M-UBSN","2-4歲","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","11305B-L-UBSN","5-8歲","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","11306B-M-UBSN","2-4歲","男,女",,,"Catalog, Search","No","Enabled",0,"simple"
